class_id,class_name,precision,recall,mask_AP50,mask_AP50_95
298,vegetarian-onion,0.9257408709898806,0.9545454545454546,0.9636868686868686,0.9143822487467776
295,vegetarian-lotusroot,0.9847803412872247,0.9333333333333333,0.935,0.914
53,meatonly-chicken-braised,0.9529765476531501,0.8484848484848485,0.9234421011777689,0.9129667594198094
249,staple-rice,0.9023783756859471,0.9329320722269991,0.9591652552138047,0.9091355601061097
73,meatonly-pork-braised,0.9580734751559802,0.898876404494382,0.9425623006611076,0.9081454624986826
241,soup-egg-tomato,0.8818396220934093,0.9512195121951219,0.9463901885151886,0.90708138338788
51,meatonly-chicken,0.872662426380775,0.8859575690117127,0.9397557048463577,0.9070592372717915
317,vegetarian-stemlettuce,0.8687761723528555,0.8837209302325582,0.9309853497516929,0.9033391971372703
283,vegetarian-cucumber,0.9204973770374434,0.9361702127659575,0.9422570217526698,0.9032244277544444
11,carrot,0.9764198678783532,0.972972972972973,0.9862409276540827,0.9015923421719844
3,banana,0.9455145449042094,0.9814814814814815,0.9831481481481481,0.9008285404055316
248,staple-noodles,0.9311845777935001,0.9299610894941635,0.9629932606902879,0.8963615608718118
59,meatonly-crab,0.7307564900280645,1.0,0.995,0.8955
185,meatveg-pork-edamame,1.0,0.0,0.995,0.8955
305,vegetarian-pumpkin,0.7455860965869432,0.9285714285714286,0.9100000000000001,0.8930000000000001
63,meatonly-egg-boiled,0.9465555321026713,0.8181818181818182,0.9233873586091328,0.8913238447842481
77,meatonly-shrimp,0.8998253490286424,0.9130434782608695,0.9368061955120467,0.8822388729296625
52,meatonly-chicken-boiled,0.9663717794845424,0.8453955338691731,0.8973608280339516,0.8817356171673364
330,vegetarian-tofuskinroll,0.8941180150518704,0.8044847892318971,0.8932771924014374,0.8748400234005281
220,milk,0.8518573732685951,0.9599184139535129,0.9835714285714285,0.8743337662337662
42,lal-shak,0.7362818866076439,1.0,0.995,0.8714999999999999
57,meatonly-chinesesausage,0.8807948718317725,0.8947368421052632,0.8922222222222222,0.8673125
48,meatonly-beefsteak,0.9298203103914088,0.9333333333333333,0.9250985109350429,0.8665740692156918
252,staple-vermicelli,0.9694336582735035,0.8691588785046729,0.9063883451575029,0.8620641413530532
13,cha,0.73714295605781,0.875,0.8970833333333333,0.8611607142857143
270,vegetarian-cauliflower,0.9158398112170943,0.867579908675799,0.9034906623249008,0.8604375551457188
19,cucumber,0.8810177655398631,0.9466666666666667,0.9626120864860541,0.8584203376026969
244,staple-cake,0.9258214390015269,0.8387096774193549,0.9181003365549332,0.8576561256494812
62,meatonly-egg,0.8722029156389783,0.9203821656050956,0.9249515809461353,0.8571867012494796
297,vegetarian-okra,0.8836130342197147,0.8571428571428571,0.855,0.8550000000000001
75,meatonly-pork-sweetandsour,0.8280250160339091,0.8333333333333334,0.9007086886793418,0.8528991442988216
137,meatveg-egg-tomato,0.9070580293575324,0.8901734104046243,0.9004551022010949,0.8528913881975976
287,vegetarian-enokimushroom,0.8893267906607325,0.8888888888888888,0.9132857142857144,0.848161224489796
319,vegetarian-taro,0.9432440754544896,0.9285714285714286,0.925,0.8369166666666666
236,ruti,0.9236574481376507,0.8392857142857143,0.9025995365900423,0.8342024674930233
58,meatonly-clam,0.6812113539572874,0.7248454158291499,0.8300000000000002,0.8300000000000003
17,chomchom,0.6910869356859592,0.6666666666666666,0.9125000000000002,0.8212500000000003
238,shak,0.76277342704798,0.9375,0.935,0.8199663120567375
195,meatveg-pork-potato,0.7499494355599367,0.74,0.8388852291379508,0.8147044434337326
38,khichuri,0.9090159231218511,0.8461538461538461,0.8696153846153846,0.8108286713286713
35,jilapi,0.7993421475852147,1.0,0.995,0.8094761904761905
234,rice,0.9404868619458256,0.825,0.8968286518632749,0.8022780737391935
105,meatveg-chicken-carrot-potato-peas-onion-curry,0.18312203302098853,1.0,0.995,0.796
25,egg-poached,0.8068523266392755,0.8208955223880597,0.8448179194830997,0.7802714194800235
190,meatveg-pork-greens,0.9181713935140358,0.7692307692307693,0.8164115544967242,0.7777008338296605
90,meatveg-beef-potato,0.8371225742703065,0.6666666666666666,0.7787318038498005,0.7647459137212532
221,noodles,0.7863891333287825,0.6666666666666666,0.8300000000000001,0.7637500000000002
15,chicken,0.8630448748822308,0.7926829268292683,0.8783034682555011,0.7459018870452881
37,kabab,0.537813379994495,0.6666666666666666,0.8064285714285717,0.7425357142857145
232,puffed-rice,0.9139971775468849,0.8,0.87,0.7391474358974358
20,daal,0.8233378934318382,0.84,0.8430783015559749,0.7352996650555627
29,fruit-lemon,0.63990355598755,1.0,0.7866666666666666,0.7279886363636364
33,green-pea,0.5432928674003741,1.0,0.995,0.7212500000000001
9,burinda,0.7435287529850274,0.8312578690829666,0.855,0.71775
65,meatonly-egg-panfried,0.7917075813835419,0.47926895345885456,0.7932539682539683,0.7063142857142857
21,dates,0.8099861173652906,0.975609756097561,0.9674667150322716,0.6925553676856407
26,fish,0.8140466609785746,0.8571428571428571,0.8957758901311068,0.6702781706798612
68,meatonly-fishmeat,0.79601490749315,0.7230769230769231,0.7947779023423729,0.6653861965911176
36,juice,0.7908993112503971,0.8333333333333334,0.8563661887694144,0.6380369254401512
259,vegetarian-broccoli,0.7093274286183793,0.8169014084507042,0.8324205523765906,0.6362238708452361
