epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,8957.38,0.43172,0.55904,0.52072,0.00359,0.02918,0.78512,0.49766,0.55321,0.51073,0.78466,0.49704,0.55297,0.50721,0.32968,0.5177,0.46103,0.00454,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11124.9,0.43069,0.55949,0.50898,0.00356,0.02911,0.78273,0.49842,0.5526,0.50941,0.78275,0.49833,0.5528,0.50522,0.32918,0.51637,0.4602,0.00454,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13632.2,0.42409,0.54732,0.49573,0.00349,0.02876,0.75099,0.50889,0.55073,0.50769,0.75072,0.50848,0.55037,0.50375,0.32859,0.51543,0.45863,0.00452,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,15756.1,0.41885,0.54808,0.49132,0.00345,0.02843,0.72567,0.51618,0.5539,0.51043,0.72538,0.51469,0.5538,0.50704,0.32785,0.5148,0.4593,0.00452,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,17797.7,0.41755,0.54845,0.48849,0.00344,0.02829,0.71449,0.52122,0.5524,0.50824,0.71445,0.52,0.55232,0.50581,0.32677,0.5132,0.4576,0.00449,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,19794.3,0.41299,0.54238,0.48442,0.00339,0.02838,0.71431,0.53198,0.55284,0.50937,0.71377,0.53134,0.55292,0.50658,0.32612,0.51295,0.45457,0.00449,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,21769.7,0.40389,0.53048,0.46916,0.00332,0.0276,0.71901,0.53095,0.55474,0.51,0.71858,0.53046,0.55468,0.50751,0.32528,0.51247,0.45492,0.00447,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,2639.39,0.39873,0.52303,0.4507,0.00324,0.02713,0.71228,0.53229,0.55413,0.50964,0.71182,0.53179,0.55411,0.50658,0.32562,0.51309,0.45557,0.00448,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,2423.6,0.34176,0.49255,0.38863,0.00416,0.01591,0.71437,0.52785,0.55282,0.50833,0.71392,0.5272,0.55248,0.50584,0.32541,0.51294,0.45554,0.00447,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4707.28,0.33787,0.48808,0.37887,0.00407,0.01564,0.70953,0.52367,0.55189,0.50801,0.71294,0.52218,0.55146,0.50453,0.32477,0.51242,0.45608,0.00445,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,2440.39,0.33478,0.48482,0.37787,0.00405,0.01559,0.72941,0.5153,0.55325,0.50939,0.72905,0.51475,0.55259,0.50635,0.32571,0.51285,0.4541,0.00448,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4649.26,0.33011,0.48181,0.37395,0.00394,0.01539,0.71019,0.52231,0.55474,0.51128,0.7105,0.52109,0.55411,0.50829,0.32533,0.5127,0.45582,0.00447,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,6774.47,0.32313,0.47497,0.3613,0.00385,0.01527,0.70965,0.52501,0.55481,0.51179,0.70983,0.52034,0.55419,0.50819,0.32513,0.5129,0.45618,0.00446,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8870.31,0.31871,0.47234,0.34947,0.00378,0.01517,0.69014,0.53046,0.55167,0.50904,0.69017,0.52824,0.55114,0.50536,0.32472,0.51288,0.45613,0.00445,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,10974.4,0.31358,0.46853,0.34103,0.00372,0.01504,0.69111,0.53293,0.55253,0.51028,0.69099,0.53163,0.55213,0.50621,0.32426,0.51213,0.45556,0.00445,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,13054.8,0.30999,0.46654,0.33418,0.00365,0.01496,0.68448,0.52952,0.55465,0.5128,0.68467,0.5265,0.55447,0.50834,0.32387,0.51178,0.4553,0.00444,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,2504.98,0.30666,0.46321,0.3298,0.00365,0.01502,0.73087,0.51246,0.55564,0.51348,0.73035,0.51182,0.55537,0.50892,0.32376,0.51197,0.45547,0.00444,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,2449.29,0.30423,0.46167,0.3252,0.00361,0.01499,0.70963,0.52181,0.55516,0.51295,0.70958,0.52084,0.55492,0.50844,0.32379,0.51226,0.45578,0.00444,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
